FirstName,LastName,SamAccountName,OU,Department,Password
Jon,Snow,jsnow,"OU=NewGOTEmployees,DC=adatum,DC=com",Winterfell,W0lfFang!82
Daenerys,Targaryen,dtargaryen,"OU=NewGOTEmployees,DC=adatum,DC=com",Dragonstone,Dr4g0nF1re#17
Tyrion,Lannister,tlannister,"OU=NewGOTEmployees,DC=adatum,DC=com",CasterlyRock,L1ttl3L10n$63
Margaery,Tyrell,mtyrell,"OU=NewGOTEmployees,DC=adatum,DC=com",Highgarden,R0s3Th0rn!94
Oberyn,Martell,omartell,"OU=NewGOTEmployees,DC=adatum,DC=com",Dorne,V1p3rSt1ng#55
Yara,Greyjoy,ygreyjoy,"OU=NewGOTEmployees,DC=adatum,DC=com",Pyke,S34R1d3r!73
Brienne,Tarth,btarth,"OU=NewGOTEmployees,DC=adatum,DC=com",Tarth,Sw0rdM41d#28
Jorah,Mormont,jmormont,"OU=NewGOTEmployees,DC=adatum,DC=com",BearIsland,B34rCl4w$66
Davos,Seaworth,dseaworth,"OU=NewGOTEmployees,DC=adatum,DC=com",Dragonstone,S3aw0rthy!39
Tormund,Giantsbane,tgiantsbane,"OU=NewGOTEmployees,DC=adatum,DC=com",FreeFolk,W1ldF1r3#81
